uid,id_degree,avg_cl,trans,centr
648249344,0,0.0,0,1
645333001,14,0.719047619047619,0.3541666666666667,0.2571428571428571
651165709,140,0.4453221241774377,0.09587806277144964,0.038500506585612965
649232401,0,0.0,0,1
639664147,24,0.7265706757011103,0.44613050075872535,0.26
651264025,306,0.732308846937871,0.7014625246353444,0.47235528304698643
644513821,77,0.6822715628262698,0.14463193027999258,0.08091908091908093
650543134,0,0.0,0,1
649297952,0,0.0,0,1
651853859,0,0.0,0,1
650018851,59,0.45369715636226443,0.16006669445602334,0.09265536723163842
644055075,0,0.0,0,1
649429034,0,0.0,0,1
651755565,0,0.0,0,1
650379310,0,0.0,0,1
646709294,0,0.0,0,1
650608690,60,0.5799649714953248,0.17899511514305652,0.1
648511538,0,0.0,0,1
642121781,10,0.832900432900433,0.6629834254143646,0.5636363636363637
640450615,0,0.0,0,1
651296828,1,0.0,0,1.0
642842685,0,0.0,0,1
649232451,0,0.0,0,1
652050508,26,0.6175522226502621,0.46308724832214765,0.3190883190883191
646381646,22,0.30837568228872575,0.072,0.11067193675889328
652542031,1,0.0,0,1.0
651067477,31,0.488418458781362,0.2572509457755359,0.17338709677419353
640614487,0,0.0,0,1
641957978,61,0.03226687819495858,0.0016375545851528383,0.03278688524590164
650838118,0,0.0,0,1
640778343,0,0.0,0,1
643629164,76,0.463677265510324,0.2187173595153541,0.08817498291182502
643956845,0,0.0,0,1
651296888,0,0.0,0,1
650543224,0,0.0,0,1
649298042,0,0.0,0,1
647528570,7,0.25595238095238093,0.13043478260869565,0.2857142857142857
646938745,4,1.0,1.0,1.0
645005433,2,1.0,1.0,1.0
642089084,0,0.0,0,1
642449541,43,0.6105558949507153,0.32568238213399503,0.13002114164904863
651231366,17,0.7013926977162271,0.5629453681710214,0.33986928104575165
643235975,10,0.8844155844155843,0.8262295081967214,0.7636363636363637
650477704,0,0.0,0,1
647856265,0,0.0,0,1
646316170,0,0.0,0,1
651591822,0,0.0,0,1
651460751,0,0.0,0,1
650838161,63,0.3372644534564898,0.20903522205206737,0.1259920634920635
643235987,0,0.0,0,1
642318483,0,0.0,0,1
649592982,0,0.0,0,1
648282263,0,0.0,0,1
648282269,0,0.0,0,1
644743327,0,0.0,0,1
647987360,0,0.0,0,1
640221345,0,0.0,0,1
640024736,0,0.0,0,1
649265316,0,0.0,0,1
649855141,0,0.0,0,1
652017839,0,0.0,0,1
639500463,13,0.8616383616383615,0.8975206611570248,0.7032967032967034
645365937,0,0.0,0,1
641302706,20,0.6879451375691977,0.5331325301204819,0.3523809523809524
640090289,0,0.0,0,1
642089144,0,0.0,0,1
643956922,0,0.0,0,1
645202110,0,0.0,0,1
650903747,10,0.7656565656565657,0.5060240963855421,0.36363636363636365
645464263,0,0.0,0,1
643203275,119,0.39691498271494663,0.20405708349280988,0.10910364145658263
642023627,29,0.6178557904419973,0.3990430622009569,0.2367816091954023
641564878,42,0.7412333774500536,0.20580474934036938,0.10631229235880398
651788496,0,0.0,0,1
643956944,0,0.0,0,1
639598815,0,0.0,0,1
639598817,0,0.0,0,1
646447336,10,0.4818181818181818,0.3181818181818182,0.29090909090909095
649003246,0,0.0,0,1
641958132,0,0.0,0,1
647758070,0,0.0,0,1
641827069,0,0.0,0,1
640418051,0,0.0,0,1
647299334,7,0.7928571428571428,0.6268656716417911,0.6071428571428571
643498248,0,0.0,0,1
641138955,24,0.28426086956521746,0.13249211356466878,0.11666666666666667
647495951,22,0.7005507209471403,0.41225165562913907,0.26877470355731226
642285848,0,0.0,0,1
651559193,0,0.0,0,1
650576154,9,0.40555555555555556,0.15,0.24444444444444444
649888027,0,0.0,0,1
647758111,0,0.0,0,1
639729951,0,0.0,0,1
651886881,0,0.0,0,1
649363746,0,0.0,0,1
650379556,11,0.6037878787878789,0.3614457831325301,0.2878787878787879
642416932,130,0.25621959849724807,0.032467532467532464,0.022431004110393424
644186410,7,0.0,0,0.25
639533359,5,0.7666666666666666,0.8823529411764706,0.7333333333333334
645464369,0,0.0,0,1
651788596,0,0.0,0,1
649101620,0,0.0,0,1
650641718,0,0.0,0,1
650477880,0,0.0,0,1
643891515,3,0.8333333333333333,0.75,0.8333333333333333
651755837,0,0.0,0,1
651428165,67,0.34363506121794185,0.33048635824436534,0.2660228270412643
651002191,0,0.0,0,1
648642895,0,0.0,0,1
651723091,0,0.0,0,1
640483669,0,0.0,0,1
651428182,85,0.3270371759042353,0.3331802429961171,0.2566347469220246
649429340,0,0.0,0,1
651428191,0,0.0,0,1
649986400,4,0.0,0,0.4
645431654,0,0.0,0,1
649953644,266,0.37542617794975036,0.0867443642376094,0.03596068823744755
648184176,2,1.0,1.0,1.0
652181873,0,0.0,0,1
645923184,0,0.0,0,1
644743538,8,0.6248677248677248,0.64,0.5
640647536,34,0.7643354891231172,0.502207948615014,0.29411764705882354
648249717,0,0.0,0,1
641237370,46,0.6309930197264865,0.4785276073619632,0.2904717853839038
640516476,2,1.0,1.0,1.0
645661056,1,0.0,0,1.0
650772871,0,0.0,0,1
647790984,1,0.0,0,1.0
646316423,82,0.5780762996212282,0.4059437243123617,0.21657361151924773
651526542,1,0.0,0,1.0
650445198,0,0.0,0,1
649265554,0,0.0,0,1
649822613,0,0.0,0,1
652083606,1,0.0,0,1.0
652345751,0,0.0,0,1
644907417,0,0.0,0,1
644219290,0,0.0,0,1
640909721,2,0.0,0,0.6666666666666666
644841886,0,0.0,0,1
642744752,6,0.2952380952380952,0.17647058823529413,0.3333333333333333
650543538,1,0.0,0,1.0
647823795,0,0.0,0,1
651559350,380,0.22950478455902332,0.11887456397805676,0.06232905097389142
641499581,0,0.0,0,1
649003455,0,0.0,0,1
641237443,0,0.0,0,1
649003462,0,0.0,0,1
645431753,0,0.0,0,1
650969547,0,0.0,0,1
640614861,0,0.0,0,1
647102928,0,0.0,0,1
649429457,0,0.0,0,1
644317648,47,0.6063947519171781,0.3445814406229721,0.18971631205673758
646873558,0,0.0,0,1
651526615,0,0.0,0,1
645300694,0,0.0,0,1
640090595,0,0.0,0,1
639959529,0,0.0,0,1
646545901,0,0.0,0,1
649921006,0,0.0,0,1
642253297,3,0.5833333333333333,0.6,0.6666666666666666
646087156,0,0.0,0,1
644088308,0,0.0,0,1
645595650,0,0.0,0,1
648708613,0,0.0,0,1
648610311,0,0.0,0,1
649363978,67,0.3472230859083361,0.12973484848484848,0.08340649692712905
651756047,0,0.0,0,1
642089493,0,0.0,0,1
651330074,0,0.0,0,1
646119969,0,0.0,0,1
643498534,24,0.5730186335403726,0.24721603563474387,0.18666666666666665
640942631,0,0.0,0,1
644481577,0,0.0,0,1
646808110,62,0.4768873763736648,0.07587548638132295,0.05120327700972862
648970799,0,0.0,0,1
641630769,0,0.0,0,1
643203643,300,0.3733702565534387,0.053636076713142605,0.024916943521594685
642351677,0,0.0,0,1
640057923,0,0.0,0,1
650019397,58,0.43178508852937497,0.17829137432934378,0.09760374050263004
650445383,0,0.0,0,1
648872521,0,0.0,0,1
644186698,9,0.798968253968254,0.7142857142857143,0.6222222222222222
650609231,7,0.8559523809523809,0.7105263157894737,0.6428571428571428
643105363,0,0.0,0,1
646709844,2,0.0,0,0.6666666666666666
650871386,0,0.0,0,1
642548314,1,0.0,0,1.0
650347100,0,0.0,0,1
651559517,16,0.6034313725490196,0.22784810126582278,0.19852941176470587
649691745,0,0.0,0,1
643924587,0,0.0,0,1
649429615,0,0.0,0,1
646316662,0,0.0,0,1
651723383,0,0.0,0,1
644645494,0,0.0,0,1
651788927,0,0.0,0,1
645694087,0,0.0,0,1
651559562,347,0.782312197252384,0.7540130990671337,0.4891516777634237
651723405,0,0.0,0,1
649953940,0,0.0,0,1
640811671,132,0.638021626406832,0.38754215433445743,0.10412394622920938
643170969,0,0.0,0,1
649364123,74,0.38360505782423604,0.0938032973280273,0.06630630630630631
646840988,0,0.0,0,1
651887263,23,0.6179983060417842,0.37915742793791574,0.21739130434782608
650871456,0,0.0,0,1
640516768,486,0.3090738842756884,0.08517333816806745,0.035270954276201825
649691814,0,0.0,0,1
645464745,0,0.0,0,1
643334825,0,0.0,0,1
647496368,0,0.0,0,1
640844465,0,0.0,0,1
640287410,0,0.0,0,1
652444341,2,1.0,1.0,1.0
651264699,314,0.7323373466148505,0.7078386193420502,0.4657971893640684
650871483,0,0.0,0,1
647365311,0,0.0,0,1
644481728,0,0.0,0,1
648250051,1,0.0,0,1.0
646841028,0,0.0,0,1
644383428,0,0.0,0,1
646283974,0,0.0,0,1
642286284,0,0.0,0,1
647332557,0,0.0,0,1
648938192,1,0.0,0,1.0
650707667,135,0.4759405095832816,0.07640303759955547,0.040958605664488015
640221909,0,0.0,0,1
