id,target
6,0
11,0
46,0
47,0
102,0
150,0
177,0
196,0
200,0
380,0
436,0
478,0
488,0
510,0
519,0
573,0
595,0
596,0
597,0
619,0
628,0
739,0
847,0
907,0
914,0
934,0
976,0
979,0
982,0
1018,0
1030,0
1097,0
1131,0
1251,0
1275,0
1313,0
1323,0
1351,0
1359,0
1366,0
1390,0
1422,0
1481,0
1510,0
1525,0
1586,0
1620,0
1642,0
1699,0
1700,0
1711,0
1721,0
1756,0
1799,0
1820,0
1831,0
1887,0
1918,0
1943,0
1967,0
2013,0
2019,0
2030,0
2201,0
2244,0
2281,0
2333,0
2389,0
2395,0
2425,0
2432,0
2587,0
2593,0
2756,0
2765,0
2871,0
2896,0
2900,0
2962,0
2988,0
3006,0
3064,0
3139,0
3209,0
3300,0
3321,0
3333,0
3388,0
3405,0
3447,0
3450,0
3466,0
3526,0
3618,0
3643,0
3678,0
3719,0
3756,0
3762,0
3836,0
3840,0
4041,0
4047,0
4135,0
4159,0
4169,0
4356,0
4404,0
4414,0
4476,0
4511,0
4566,0
4626,0
4640,0
4689,0
4731,0
4756,0
4774,0
4862,0
4951,0
4978,0
5068,0
5073,0
5163,0
5223,0
5280,0
5319,0
5363,0
5389,0
5394,0
5422,0
5466,0
5622,0
5679,0
5680,0
5690,0
5889,0
5892,0
5896,0
5910,0
5944,0
5959,0
6095,0
6154,0
6184,0
6293,0
6390,0
6406,0
6491,0
6506,0
6559,0
6673,0
6703,0
6757,0
6821,0
6855,0
6897,0
6971,0
7098,0
7158,0
7188,0
7226,0
7241,0
7412,0
7429,0
7554,0
7579,0
7711,0
7712,0
7727,0
7839,0
7982,0
8010,0
8014,0
8030,0
8088,0
8140,0
8143,0
8224,0
8253,0
8273,0
8298,0
8361,0
8370,0
8377,0
8418,0
8436,0
8481,0
8549,0
8597,0
8610,0
8624,0
8625,0
8636,0
8657,0
8700,0
8727,0
9101,0
9127,0
9197,0
9218,0
9259,0
9392,0
9416,0
9459,0
9536,0
9571,0
9585,0
9612,0
9683,0
9699,0
9717,0
9731,0
9742,0
9750,0
9826,0
9900,0
9993,0
10004,0
10008,0
10034,0
10066,0
10070,0
10071,0
10242,0
10258,0
10266,0
10376,0
10460,0
10503,0
10518,0
10532,0
10556,0
10561,0
10608,0
10704,0
10758,0
10767,0
10855,0
10989,0
11042,0
11121,0
11175,0
11193,0
11237,0
11271,0
11299,0
11302,0
11303,0
11390,0
11414,0
11557,0
11783,0
11896,0
11911,0
12055,0
12075,0
12138,0
12266,0
12291,0
12303,0
12319,0
12332,0
12337,0
12345,0
12354,0
12394,0
12454,0
12479,0
12617,0
12622,0
12692,0
12748,0
12798,0
12814,0
12848,0
12927,0
13102,0
13128,0
13142,0
13243,0
13331,0
13355,0
13401,0
13581,0
13599,0
13709,0
13730,0
13812,0
13836,0
13838,0
14099,0
14154,0
14181,0
14201,0
14217,0
14247,0
14383,0
14403,0
14633,0
14675,0
14703,0
14770,0
14823,0
14901,0
14962,0
15047,0
15093,0
15155,0
15163,0
15174,0
15221,0
15273,0
15314,0
15485,0
15544,0
15583,0
15660,0
15676,0
15696,0
15700,0
15820,0
15853,0
15859,0
15866,0
15928,0
15969,0
15977,0
16017,0
16103,0
16200,0
16430,0
16503,0
16552,0
16614,0
16711,0
16714,0
16859,0
16980,0
17077,0
17078,0
17087,0
17111,0
17142,0
17163,0
17204,0
17259,0
17322,0
17405,0
17434,0
17440,0
17576,0
17583,0
17610,0
17666,0
17683,0
17712,0
17733,0
17788,0
17825,0
17990,0
17994,0
18090,0
18130,0
18252,0
18257,0
18271,0
18348,0
18421,0
18429,0
18542,0
18591,0
18629,0
18672,0
18695,0
18715,0
18734,0
18739,0
18787,0
18832,0
18868,0
18934,0
18976,0
18994,0
19047,0
19105,0
19106,0
19128,0
19209,0
19224,0
19238,0
19253,0
19380,0
19406,0
19430,0
19553,0
19568,0
19583,0
19596,0
19625,0
19634,0
19971,0
20007,0
20283,0
20355,0
20613,0
20638,0
20678,0
20767,0
20825,0
20961,0
21441,0
21497,0
21675,0
21721,0
21776,0
21825,0
22224,0
22260,0
22294,0
22417,0
22458,0
22534,0
22593,0
22615,0
22686,0
22699,0
22754,0
22814,0
22934,0
23036,0
23037,0
23059,0
23085,0
23106,0
23166,0
23208,0
23485,0
23570,0
23626,0
23627,0
23642,0
23656,0
23657,0
23691,0
23891,0
23903,0
23993,0
24039,0
24080,0
24152,0
24163,0
24202,0
24208,0
24477,0
24577,0
24579,0
24619,0
24620,0
24734,0
24781,0
24883,0
24892,0
24941,0
25009,0
25067,0
25187,0
25217,0
25254,0
25298,0
25401,0
25423,0
25436,0
25465,0
25546,0
25663,0
25674,0
25711,0
25929,0
25988,0
25991,0
26044,0
26084,0
26138,0
26199,0
26207,0
26364,0
26378,0
26396,0
26436,0
26466,0
26517,0
26615,0
26789,0
26797,0
26809,0
26856,0
26896,0
26904,0
26969,0
27005,0
27287,0
27295,0
27396,0
27414,0
27420,0
27421,0
27569,0
27611,0
27722,0
27852,0
27925,0
27957,0
27982,0
28002,0
28015,0
28052,0
28057,0
28070,0
28142,0
28168,0
28246,0
28547,0
28585,0
28622,0
28696,0
28726,0
28769,0
28792,0
28875,0
29203,0
29233,0
29324,0
29332,0
29432,0
29438,0
29439,0
29450,0
29479,0
29481,0
29493,0
29544,0
29586,0
29658,0
29696,0
29831,0
29838,0
29961,0
29970,0
29990,0
29997,0
30136,0
30292,0
30341,0
30384,0
30457,0
30674,0
30676,0
30683,0
30758,0
30889,0
31117,0
31141,0
31149,0
31254,0
31267,0
31276,0
31322,0
31390,0
31432,0
31616,0
31671,0
31842,0
31884,0
31895,0
31929,0
32018,0
32036,0
32040,0
32118,0
32175,0
32193,0
32207,0
32218,0
32247,0
32277,0
32395,0
32500,0
32532,0
32556,0
32574,0
32621,0
32721,0
32744,0
32816,0
33072,0
33163,0
33182,0
33185,0
33187,0
33213,0
33328,0
33348,0
33431,0
33561,0
33654,0
33704,0
33723,0
33778,0
33873,0
33891,0
33921,0
33992,0
34007,0
34090,0
34115,0
34157,0
34333,0
34462,0
34482,0
34535,0
34563,0
34607,0
34768,0
34776,0
